Team_ID,Team_Composition,Never_Swept
0,"Ant, Ant, Ant",True
50,"Ant, Mosquito, Mosquito",True
30,"Ant, Fish, Fish",True
32,"Ant, Fish, Mosquito",True
408,"Mosquito, Ant, Fish",True
410,"Mosquito, Ant, Mosquito",True
45,"Ant, Mosquito, Ant",True
46,"Ant, Mosquito, Beaver",True
47,"Ant, Mosquito, Cricket",True
48,"Ant, Mosquito, Fish",True
49,"Ant, Mosquito, Horse",True
51,"Ant, Mosquito, Mouse",True
23,"Ant, Cricket, Mosquito",True
52,"Ant, Mosquito, Otter",True
53,"Ant, Mosquito, Pig",True
77,"Ant, Pig, Mosquito",True
437,"Mosquito, Fish, Mosquito",True
451,"Mosquito, Mosquito, Beaver",True
293,"Fish, Mosquito, Mosquito",True
275,"Fish, Fish, Mosquito",True
248,"Fish, Ant, Mosquito",True
246,"Fish, Ant, Fish",True
28,"Ant, Fish, Beaver",True
455,"Mosquito, Mosquito, Mosquito",True
1,"Ant, Ant, Beaver",True
2,"Ant, Ant, Cricket",True
3,"Ant, Ant, Fish",True
5,"Ant, Ant, Mosquito",True
14,"Ant, Beaver, Mosquito",True
7,"Ant, Ant, Otter",True
394,"Horse, Otter, Otter",False
497,"Mouse, Beaver, Cricket",False
491,"Mouse, Ant, Mosquito",False
492,"Mouse, Ant, Mouse",False
493,"Mouse, Ant, Otter",False
494,"Mouse, Ant, Pig",False
495,"Mouse, Beaver, Ant",False
496,"Mouse, Beaver, Beaver",False
499,"Mouse, Beaver, Horse",False
498,"Mouse, Beaver, Fish",False
500,"Mouse, Beaver, Mosquito",False
501,"Mouse, Beaver, Mouse",False
502,"Mouse, Beaver, Otter",False
503,"Mouse, Beaver, Pig",False
504,"Mouse, Cricket, Ant",False
505,"Mouse, Cricket, Beaver",False
490,"Mouse, Ant, Horse",False
488,"Mouse, Ant, Cricket",False
489,"Mouse, Ant, Fish",False
478,"Mosquito, Pig, Beaver",False
471,"Mosquito, Otter, Fish",False
472,"Mosquito, Otter, Horse",False
473,"Mosquito, Otter, Mosquito",False
474,"Mosquito, Otter, Mouse",False
475,"Mosquito, Otter, Otter",False
379,"Horse, Mouse, Beaver",False
476,"Mosquito, Otter, Pig",False
477,"Mosquito, Pig, Ant",False
479,"Mosquito, Pig, Cricket",False
507,"Mouse, Cricket, Fish",False
480,"Mosquito, Pig, Fish",False
481,"Mosquito, Pig, Horse",False
482,"Mosquito, Pig, Mosquito",False
483,"Mosquito, Pig, Mouse",False
484,"Mosquito, Pig, Otter",False
485,"Mosquito, Pig, Pig",False
486,"Mouse, Ant, Ant",False
487,"Mouse, Ant, Beaver",False
506,"Mouse, Cricket, Cricket",False
508,"Mouse, Cricket, Horse",False
469,"Mosquito, Otter, Beaver",False
539,"Mouse, Mosquito, Pig",False
531,"Mouse, Mosquito, Ant",False
532,"Mouse, Mosquito, Beaver",False
533,"Mouse, Mosquito, Cricket",False
534,"Mouse, Mosquito, Fish",False
535,"Mouse, Mosquito, Horse",False
536,"Mouse, Mosquito, Mosquito",False
537,"Mouse, Mosquito, Mouse",False
538,"Mouse, Mosquito, Otter",False
540,"Mouse, Mouse, Ant",False
509,"Mouse, Cricket, Mosquito",False
541,"Mouse, Mouse, Beaver",False
542,"Mouse, Mouse, Cricket",False
543,"Mouse, Mouse, Fish",False
544,"Mouse, Mouse, Horse",False
545,"Mouse, Mouse, Mosquito",False
546,"Mouse, Mouse, Mouse",False
547,"Mouse, Mouse, Otter",False
548,"Mouse, Mouse, Pig",False
530,"Mouse, Horse, Pig",False
529,"Mouse, Horse, Otter",False
528,"Mouse, Horse, Mouse",False
527,"Mouse, Horse, Mosquito",False
510,"Mouse, Cricket, Mouse",False
511,"Mouse, Cricket, Otter",False
512,"Mouse, Cricket, Pig",False
513,"Mouse, Fish, Ant",False
514,"Mouse, Fish, Beaver",False
515,"Mouse, Fish, Cricket",False
516,"Mouse, Fish, Fish",False
517,"Mouse, Fish, Horse",False
518,"Mouse, Fish, Mosquito",False
519,"Mouse, Fish, Mouse",False
520,"Mouse, Fish, Otter",False
521,"Mouse, Fish, Pig",False
522,"Mouse, Horse, Ant",False
523,"Mouse, Horse, Beaver",False
524,"Mouse, Horse, Cricket",False
525,"Mouse, Horse, Fish",False
526,"Mouse, Horse, Horse",False
470,"Mosquito, Otter, Cricket",False
466,"Mosquito, Mouse, Otter",False
468,"Mosquito, Otter, Ant",False
415,"Mosquito, Beaver, Beaver",False
386,"Horse, Mouse, Pig",False
385,"Horse, Mouse, Otter",False
384,"Horse, Mouse, Mouse",False
383,"Horse, Mouse, Mosquito",False
382,"Horse, Mouse, Horse",False
412,"Mosquito, Ant, Otter",False
413,"Mosquito, Ant, Pig",False
414,"Mosquito, Beaver, Ant",False
416,"Mosquito, Beaver, Cricket",False
467,"Mosquito, Mouse, Pig",False
417,"Mosquito, Beaver, Fish",False
418,"Mosquito, Beaver, Horse",False
419,"Mosquito, Beaver, Mosquito",False
420,"Mosquito, Beaver, Mouse",False
421,"Mosquito, Beaver, Otter",False
422,"Mosquito, Beaver, Pig",False
423,"Mosquito, Cricket, Ant",False
424,"Mosquito, Cricket, Beaver",False
387,"Horse, Otter, Ant",False
388,"Horse, Otter, Beaver",False
411,"Mosquito, Ant, Mouse",False
389,"Horse, Otter, Cricket",False
396,"Horse, Pig, Ant",False
397,"Horse, Pig, Beaver",False
393,"Horse, Otter, Mouse",False
398,"Horse, Pig, Cricket",False
392,"Horse, Otter, Mosquito",False
399,"Horse, Pig, Fish",False
391,"Horse, Otter, Horse",False
400,"Horse, Pig, Horse",False
401,"Horse, Pig, Mosquito",False
402,"Horse, Pig, Mouse",False
403,"Horse, Pig, Otter",False
404,"Horse, Pig, Pig",False
405,"Mosquito, Ant, Ant",False
406,"Mosquito, Ant, Beaver",False
407,"Mosquito, Ant, Cricket",False
390,"Horse, Otter, Fish",False
409,"Mosquito, Ant, Horse",False
425,"Mosquito, Cricket, Cricket",False
426,"Mosquito, Cricket, Fish",False
427,"Mosquito, Cricket, Horse",False
448,"Mosquito, Horse, Otter",False
450,"Mosquito, Mosquito, Ant",False
380,"Horse, Mouse, Cricket",False
452,"Mosquito, Mosquito, Cricket",False
453,"Mosquito, Mosquito, Fish",False
454,"Mosquito, Mosquito, Horse",False
550,"Mouse, Otter, Beaver",False
456,"Mosquito, Mosquito, Mouse",False
457,"Mosquito, Mosquito, Otter",False
458,"Mosquito, Mosquito, Pig",False
459,"Mosquito, Mouse, Ant",False
460,"Mosquito, Mouse, Beaver",False
461,"Mosquito, Mouse, Cricket",False
462,"Mosquito, Mouse, Fish",False
463,"Mosquito, Mouse, Horse",False
464,"Mosquito, Mouse, Mosquito",False
465,"Mosquito, Mouse, Mouse",False
395,"Horse, Otter, Pig",False
449,"Mosquito, Horse, Pig",False
447,"Mosquito, Horse, Mouse",False
428,"Mosquito, Cricket, Mosquito",False
446,"Mosquito, Horse, Mosquito",False
429,"Mosquito, Cricket, Mouse",False
430,"Mosquito, Cricket, Otter",False
431,"Mosquito, Cricket, Pig",False
432,"Mosquito, Fish, Ant",False
433,"Mosquito, Fish, Beaver",False
434,"Mosquito, Fish, Cricket",False
381,"Horse, Mouse, Fish",False
435,"Mosquito, Fish, Fish",False
436,"Mosquito, Fish, Horse",False
438,"Mosquito, Fish, Mouse",False
439,"Mosquito, Fish, Otter",False
440,"Mosquito, Fish, Pig",False
441,"Mosquito, Horse, Ant",False
442,"Mosquito, Horse, Beaver",False
443,"Mosquito, Horse, Cricket",False
444,"Mosquito, Horse, Fish",False
445,"Mosquito, Horse, Horse",False
549,"Mouse, Otter, Ant",False
560,"Mouse, Pig, Cricket",False
551,"Mouse, Otter, Cricket",False
684,"Pig, Horse, Ant",False
664,"Pig, Beaver, Otter",False
665,"Pig, Beaver, Pig",False
666,"Pig, Cricket, Ant",False
667,"Pig, Cricket, Beaver",False
668,"Pig, Cricket, Cricket",False
669,"Pig, Cricket, Fish",False
670,"Pig, Cricket, Horse",False
671,"Pig, Cricket, Mosquito",False
672,"Pig, Cricket, Mouse",False
673,"Pig, Cricket, Otter",False
674,"Pig, Cricket, Pig",False
675,"Pig, Fish, Ant",False
676,"Pig, Fish, Beaver",False
677,"Pig, Fish, Cricket",False
678,"Pig, Fish, Fish",False
679,"Pig, Fish, Horse",False
680,"Pig, Fish, Mosquito",False
681,"Pig, Fish, Mouse",False
682,"Pig, Fish, Otter",False
663,"Pig, Beaver, Mouse",False
662,"Pig, Beaver, Mosquito",False
661,"Pig, Beaver, Horse",False
650,"Pig, Ant, Cricket",False
642,"Otter, Pig, Fish",False
643,"Otter, Pig, Horse",False
644,"Otter, Pig, Mosquito",False
645,"Otter, Pig, Mouse",False
646,"Otter, Pig, Otter",False
647,"Otter, Pig, Pig",False
648,"Pig, Ant, Ant",False
649,"Pig, Ant, Beaver",False
651,"Pig, Ant, Fish",False
660,"Pig, Beaver, Fish",False
652,"Pig, Ant, Horse",False
653,"Pig, Ant, Mosquito",False
654,"Pig, Ant, Mouse",False
655,"Pig, Ant, Otter",False
656,"Pig, Ant, Pig",False
657,"Pig, Beaver, Ant",False
658,"Pig, Beaver, Beaver",False
659,"Pig, Beaver, Cricket",False
683,"Pig, Fish, Pig",False
685,"Pig, Horse, Beaver",False
552,"Mouse, Otter, Fish",False
686,"Pig, Horse, Cricket",False
709,"Pig, Mouse, Otter",False
710,"Pig, Mouse, Pig",False
711,"Pig, Otter, Ant",False
712,"Pig, Otter, Beaver",False
713,"Pig, Otter, Cricket",False
714,"Pig, Otter, Fish",False
715,"Pig, Otter, Horse",False
716,"Pig, Otter, Mosquito",False
717,"Pig, Otter, Mouse",False
718,"Pig, Otter, Otter",False
719,"Pig, Otter, Pig",False
720,"Pig, Pig, Ant",False
721,"Pig, Pig, Beaver",False
722,"Pig, Pig, Cricket",False
723,"Pig, Pig, Fish",False
724,"Pig, Pig, Horse",False
725,"Pig, Pig, Mosquito",False
726,"Pig, Pig, Mouse",False
727,"Pig, Pig, Otter",False
708,"Pig, Mouse, Mouse",False
707,"Pig, Mouse, Mosquito",False
706,"Pig, Mouse, Horse",False
695,"Pig, Mosquito, Cricket",False
687,"Pig, Horse, Fish",False
688,"Pig, Horse, Horse",False
689,"Pig, Horse, Mosquito",False
690,"Pig, Horse, Mouse",False
691,"Pig, Horse, Otter",False
692,"Pig, Horse, Pig",False
693,"Pig, Mosquito, Ant",False
694,"Pig, Mosquito, Beaver",False
696,"Pig, Mosquito, Fish",False
705,"Pig, Mouse, Fish",False
697,"Pig, Mosquito, Horse",False
698,"Pig, Mosquito, Mosquito",False
699,"Pig, Mosquito, Mouse",False
700,"Pig, Mosquito, Otter",False
701,"Pig, Mosquito, Pig",False
702,"Pig, Mouse, Ant",False
703,"Pig, Mouse, Beaver",False
704,"Pig, Mouse, Cricket",False
641,"Otter, Pig, Cricket",False
640,"Otter, Pig, Beaver",False
639,"Otter, Pig, Ant",False
638,"Otter, Otter, Pig",False
575,"Otter, Ant, Pig",False
576,"Otter, Beaver, Ant",False
577,"Otter, Beaver, Beaver",False
578,"Otter, Beaver, Cricket",False
579,"Otter, Beaver, Fish",False
580,"Otter, Beaver, Horse",False
581,"Otter, Beaver, Mosquito",False
582,"Otter, Beaver, Mouse",False
583,"Otter, Beaver, Otter",False
584,"Otter, Beaver, Pig",False
585,"Otter, Cricket, Ant",False
586,"Otter, Cricket, Beaver",False
587,"Otter, Cricket, Cricket",False
588,"Otter, Cricket, Fish",False
589,"Otter, Cricket, Horse",False
590,"Otter, Cricket, Mosquito",False
591,"Otter, Cricket, Mouse",False
592,"Otter, Cricket, Otter",False
593,"Otter, Cricket, Pig",False
574,"Otter, Ant, Otter",False
573,"Otter, Ant, Mouse",False
572,"Otter, Ant, Mosquito",False
561,"Mouse, Pig, Fish",False
553,"Mouse, Otter, Horse",False
554,"Mouse, Otter, Mosquito",False
555,"Mouse, Otter, Mouse",False
556,"Mouse, Otter, Otter",False
557,"Mouse, Otter, Pig",False
558,"Mouse, Pig, Ant",False
559,"Mouse, Pig, Beaver",False
377,"Horse, Mosquito, Pig",False
562,"Mouse, Pig, Horse",False
571,"Otter, Ant, Horse",False
563,"Mouse, Pig, Mosquito",False
564,"Mouse, Pig, Mouse",False
565,"Mouse, Pig, Otter",False
566,"Mouse, Pig, Pig",False
567,"Otter, Ant, Ant",False
568,"Otter, Ant, Beaver",False
569,"Otter, Ant, Cricket",False
570,"Otter, Ant, Fish",False
594,"Otter, Fish, Ant",False
595,"Otter, Fish, Beaver",False
596,"Otter, Fish, Cricket",False
628,"Otter, Mouse, Otter",False
620,"Otter, Mosquito, Pig",False
621,"Otter, Mouse, Ant",False
622,"Otter, Mouse, Beaver",False
623,"Otter, Mouse, Cricket",False
624,"Otter, Mouse, Fish",False
625,"Otter, Mouse, Horse",False
626,"Otter, Mouse, Mosquito",False
627,"Otter, Mouse, Mouse",False
629,"Otter, Mouse, Pig",False
618,"Otter, Mosquito, Mouse",False
630,"Otter, Otter, Ant",False
631,"Otter, Otter, Beaver",False
632,"Otter, Otter, Cricket",False
633,"Otter, Otter, Fish",False
634,"Otter, Otter, Horse",False
635,"Otter, Otter, Mosquito",False
636,"Otter, Otter, Mouse",False
637,"Otter, Otter, Otter",False
619,"Otter, Mosquito, Otter",False
617,"Otter, Mosquito, Mosquito",False
597,"Otter, Fish, Fish",False
606,"Otter, Horse, Fish",False
598,"Otter, Fish, Horse",False
599,"Otter, Fish, Mosquito",False
600,"Otter, Fish, Mouse",False
601,"Otter, Fish, Otter",False
602,"Otter, Fish, Pig",False
