Team_ID,Team_Composition,Total_Loss_Count
246,"Fish, Ant, Fish",2147
3,"Ant, Ant, Fish",3789
248,"Fish, Ant, Mosquito",16089
7,"Ant, Ant, Otter",16923
273,"Fish, Fish, Fish",16947
5,"Ant, Ant, Mosquito",17300
245,"Fish, Ant, Cricket",18580
30,"Ant, Fish, Fish",18796
244,"Fish, Ant, Beaver",19996
2,"Ant, Ant, Cricket",21655
271,"Fish, Fish, Beaver",23618
275,"Fish, Fish, Mosquito",26478
32,"Ant, Fish, Mosquito",27360
243,"Fish, Ant, Ant",28425
408,"Mosquito, Ant, Fish",28535
28,"Ant, Fish, Beaver",28569
1,"Ant, Ant, Beaver",29183
48,"Ant, Mosquito, Fish",29714
84,"Beaver, Ant, Fish",30410
0,"Ant, Ant, Ant",31870
50,"Ant, Mosquito, Mosquito",33153
21,"Ant, Cricket, Fish",33198
250,"Fish, Ant, Otter",34774
410,"Mosquito, Ant, Mosquito",39196
12,"Ant, Beaver, Fish",40923
291,"Fish, Mosquito, Fish",42255
293,"Fish, Mosquito, Mosquito",43162
253,"Fish, Beaver, Beaver",47828
29,"Ant, Fish, Cricket",47832
437,"Mosquito, Fish, Mosquito",48128
23,"Ant, Cricket, Mosquito",49167
272,"Fish, Fish, Cricket",49482
27,"Ant, Fish, Ant",53376
46,"Ant, Mosquito, Beaver",54142
435,"Mosquito, Fish, Fish",55402
10,"Ant, Beaver, Beaver",56650
6,"Ant, Ant, Mouse",57874
165,"Cricket, Ant, Fish",58012
455,"Mosquito, Mosquito, Mosquito",59921
651,"Pig, Ant, Fish",60287
255,"Fish, Beaver, Fish",60510
407,"Mosquito, Ant, Cricket",61015
14,"Ant, Beaver, Mosquito",61153
270,"Fish, Fish, Ant",61450
47,"Ant, Mosquito, Cricket",63262
66,"Ant, Otter, Fish",65746
289,"Fish, Mosquito, Beaver",68116
86,"Beaver, Ant, Mosquito",69213
453,"Mosquito, Mosquito, Fish",69562
111,"Beaver, Fish, Fish",72532
433,"Mosquito, Fish, Beaver",73522
19,"Ant, Cricket, Beaver",73619
167,"Cricket, Ant, Mosquito",75878
34,"Ant, Fish, Otter",76452
257,"Fish, Beaver, Mosquito",77713
264,"Fish, Cricket, Fish",77854
20,"Ant, Cricket, Cricket",78922
83,"Beaver, Ant, Cricket",79300
82,"Beaver, Ant, Beaver",80628
406,"Mosquito, Ant, Beaver",80849
412,"Mosquito, Ant, Otter",81665
266,"Fish, Cricket, Mosquito",82314
45,"Ant, Mosquito, Ant",82554
109,"Beaver, Fish, Beaver",84852
327,"Horse, Ant, Fish",87770
278,"Fish, Fish, Pig",88219
290,"Fish, Mosquito, Cricket",91938
434,"Mosquito, Fish, Cricket",93585
113,"Beaver, Fish, Mosquito",93713
405,"Mosquito, Ant, Ant",93857
249,"Fish, Ant, Mouse",94019
35,"Ant, Fish, Pig",95516
194,"Cricket, Fish, Mosquito",96571
570,"Otter, Ant, Fish",98053
18,"Ant, Cricket, Ant",99419
192,"Cricket, Fish, Fish",99609
52,"Ant, Mosquito, Otter",100455
81,"Beaver, Ant, Ant",102134
68,"Ant, Otter, Mosquito",107738
88,"Beaver, Ant, Otter",107941
11,"Ant, Beaver, Cricket",109794
91,"Beaver, Beaver, Beaver",110653
318,"Fish, Pig, Fish",110879
428,"Mosquito, Cricket, Mosquito",111305
212,"Cricket, Mosquito, Mosquito",113248
9,"Ant, Beaver, Ant",113454
451,"Mosquito, Mosquito, Beaver",113721
25,"Ant, Cricket, Otter",116087
288,"Fish, Mosquito, Ant",118039
432,"Mosquito, Fish, Ant",118789
277,"Fish, Fish, Otter",121058
678,"Pig, Fish, Fish",121616
572,"Otter, Ant, Mosquito",121705
419,"Mosquito, Beaver, Mosquito",122117
426,"Mosquito, Cricket, Fish",122509
57,"Ant, Mouse, Fish",123007
8,"Ant, Ant, Pig",124461
653,"Pig, Ant, Mosquito",124531
262,"Fish, Cricket, Beaver",125010
452,"Mosquito, Mosquito, Cricket",126194
190,"Cricket, Fish, Beaver",128000
417,"Mosquito, Beaver, Fish",128571
4,"Ant, Ant, Horse",131965
129,"Beaver, Mosquito, Fish",132055
163,"Cricket, Ant, Beaver",132087
131,"Beaver, Mosquito, Mosquito",132410
316,"Fish, Pig, Beaver",132979
93,"Beaver, Beaver, Fish",134146
164,"Cricket, Ant, Cricket",135289
110,"Beaver, Fish, Cricket",136211
650,"Pig, Ant, Cricket",137828
22,"Ant, Cricket, Horse",138346
31,"Ant, Fish, Horse",138756
210,"Cricket, Mosquito, Fish",142675
75,"Ant, Pig, Fish",146860
415,"Mosquito, Beaver, Beaver",147068
282,"Fish, Horse, Fish",148119
649,"Pig, Ant, Beaver",148896
329,"Horse, Ant, Mosquito",150861
311,"Fish, Otter, Mosquito",151145
254,"Fish, Beaver, Cricket",152463
252,"Fish, Beaver, Ant",152901
260,"Fish, Beaver, Pig",153845
274,"Fish, Fish, Horse",154393
108,"Beaver, Fish, Ant",158102
162,"Cricket, Ant, Ant",158644
296,"Fish, Mosquito, Pig",160391
33,"Ant, Fish, Mouse",160919
263,"Fish, Cricket, Cricket",161368
354,"Horse, Fish, Fish",161753
39,"Ant, Horse, Fish",165400
450,"Mosquito, Mosquito, Ant",166616
64,"Ant, Otter, Beaver",166753
295,"Fish, Mosquito, Otter",167049
320,"Fish, Pig, Mosquito",168235
65,"Ant, Otter, Cricket",169004
53,"Ant, Mosquito, Pig",171350
439,"Mosquito, Fish, Otter",172463
676,"Pig, Fish, Beaver",172504
16,"Ant, Beaver, Otter",173022
169,"Cricket, Ant, Otter",174388
59,"Ant, Mouse, Mosquito",175059
127,"Beaver, Mosquito, Beaver",176116
648,"Pig, Ant, Ant",176385
411,"Mosquito, Ant, Mouse",178111
440,"Mosquito, Fish, Pig",179056
489,"Mouse, Ant, Fish",180045
680,"Pig, Fish, Mosquito",180715
95,"Beaver, Beaver, Mosquito",182487
77,"Ant, Pig, Mosquito",183132
17,"Ant, Beaver, Pig",184218
309,"Fish, Otter, Fish",184346
655,"Pig, Ant, Otter",184620
473,"Mosquito, Otter, Mosquito",185034
617,"Otter, Mosquito, Mosquito",185469
251,"Fish, Ant, Pig",187289
326,"Horse, Ant, Cricket",190600
73,"Ant, Pig, Beaver",191326
599,"Otter, Fish, Mosquito",191694
208,"Cricket, Mosquito, Beaver",193074
261,"Fish, Cricket, Ant",194302
191,"Cricket, Fish, Cricket",194805
116,"Beaver, Fish, Pig",195691
424,"Mosquito, Cricket, Beaver",195770
185,"Cricket, Cricket, Mosquito",197641
51,"Ant, Mosquito, Mouse",197902
480,"Mosquito, Pig, Fish",197948
325,"Horse, Ant, Beaver",201760
247,"Fish, Ant, Horse",205838
41,"Ant, Horse, Mosquito",208672
102,"Beaver, Cricket, Fish",209290
568,"Otter, Ant, Beaver",211109
284,"Fish, Horse, Mosquito",211631
615,"Otter, Mosquito, Fish",211870
457,"Mosquito, Mosquito, Otter",212494
49,"Ant, Mosquito, Horse",213617
63,"Ant, Otter, Ant",214103
569,"Otter, Ant, Cricket",214371
425,"Mosquito, Cricket, Cricket",214376
356,"Horse, Fish, Mosquito",215460
156,"Beaver, Pig, Fish",215660
597,"Otter, Fish, Fish",215664
70,"Ant, Otter, Otter",215666
696,"Pig, Mosquito, Fish",217523
471,"Mosquito, Otter, Fish",221842
482,"Mosquito, Pig, Mosquito",222167
189,"Cricket, Fish, Ant",223135
280,"Fish, Horse, Beaver",223255
87,"Beaver, Ant, Mouse",223273
104,"Beaver, Cricket, Mosquito",226964
491,"Mouse, Ant, Mosquito",227874
458,"Mosquito, Mosquito, Pig",229743
128,"Beaver, Mosquito, Cricket",230328
307,"Fish, Otter, Beaver",231109
352,"Horse, Fish, Beaver",232061
324,"Horse, Ant, Ant",232473
37,"Ant, Horse, Beaver",232912
292,"Fish, Mosquito, Horse",234742
176,"Cricket, Beaver, Mosquito",237483
55,"Ant, Mouse, Beaver",238694
660,"Pig, Beaver, Fish",238944
24,"Ant, Cricket, Mouse",241040
183,"Cricket, Cricket, Fish",241119
567,"Otter, Ant, Ant",241715
26,"Ant, Cricket, Pig",241972
416,"Mosquito, Beaver, Cricket",243350
698,"Pig, Mosquito, Mosquito",243446
331,"Horse, Ant, Otter",244490
154,"Beaver, Pig, Beaver",244613
115,"Beaver, Fish, Otter",245708
174,"Cricket, Beaver, Fish",245965
436,"Mosquito, Fish, Horse",246135
444,"Mosquito, Horse, Fish",248701
172,"Cricket, Beaver, Beaver",248882
265,"Fish, Cricket, Horse",251637
269,"Fish, Cricket, Pig",253355
209,"Cricket, Mosquito, Cricket",254615
98,"Beaver, Beaver, Pig",255056
372,"Horse, Mosquito, Fish",255310
414,"Mosquito, Beaver, Ant",255772
677,"Pig, Fish, Cricket",256156
300,"Fish, Mouse, Fish",256290
268,"Fish, Cricket, Otter",260503
276,"Fish, Fish, Mouse",262177
56,"Ant, Mouse, Cricket",264052
574,"Otter, Ant, Otter",264960
423,"Mosquito, Cricket, Ant",265857
302,"Fish, Mouse, Mosquito",266611
308,"Fish, Otter, Cricket",267150
478,"Mosquito, Pig, Beaver",267536
259,"Fish, Beaver, Otter",268321
658,"Pig, Beaver, Beaver",268608
126,"Beaver, Mosquito, Ant",269603
100,"Beaver, Cricket, Beaver",269975
446,"Mosquito, Horse, Mosquito",271534
13,"Ant, Beaver, Horse",273061
92,"Beaver, Beaver, Cricket",273964
90,"Beaver, Beaver, Ant",275767
595,"Otter, Fish, Beaver",276633
197,"Cricket, Fish, Pig",276652
374,"Horse, Mosquito, Mosquito",279563
590,"Otter, Cricket, Mosquito",280709
317,"Fish, Pig, Cricket",282776
74,"Ant, Pig, Cricket",284165
675,"Pig, Fish, Ant",287193
72,"Ant, Pig, Ant",289584
230,"Cricket, Otter, Mosquito",290116
