Team_ID,Team_Composition,Total_Win_Count
2,"Ant, Ant, Cricket",1399386
245,"Fish, Ant, Cricket",1363923
3,"Ant, Ant, Fish",1305266
29,"Ant, Fish, Cricket",1296239
407,"Mosquito, Ant, Cricket",1279992
30,"Ant, Fish, Fish",1272926
47,"Ant, Mosquito, Cricket",1258910
246,"Fish, Ant, Fish",1252869
7,"Ant, Ant, Otter",1250868
5,"Ant, Ant, Mosquito",1241624
83,"Beaver, Ant, Cricket",1234618
32,"Ant, Fish, Mosquito",1228890
273,"Fish, Fish, Fish",1223546
48,"Ant, Mosquito, Fish",1218915
20,"Ant, Cricket, Cricket",1214483
272,"Fish, Fish, Cricket",1196183
248,"Fish, Ant, Mosquito",1191491
50,"Ant, Mosquito, Mosquito",1188845
275,"Fish, Fish, Mosquito",1178469
408,"Mosquito, Ant, Fish",1177395
34,"Ant, Fish, Otter",1167997
291,"Fish, Mosquito, Fish",1166312
435,"Mosquito, Fish, Fish",1153329
293,"Fish, Mosquito, Mosquito",1151626
290,"Fish, Mosquito, Cricket",1148004
434,"Mosquito, Fish, Cricket",1147924
12,"Ant, Beaver, Fish",1146735
250,"Fish, Ant, Otter",1145826
164,"Cricket, Ant, Cricket",1137638
21,"Ant, Cricket, Fish",1133144
410,"Mosquito, Ant, Mosquito",1130929
11,"Ant, Beaver, Cricket",1130772
437,"Mosquito, Fish, Mosquito",1130750
52,"Ant, Mosquito, Otter",1120545
1,"Ant, Ant, Beaver",1113825
0,"Ant, Ant, Ant",1112902
650,"Pig, Ant, Cricket",1109305
84,"Beaver, Ant, Fish",1106406
453,"Mosquito, Mosquito, Fish",1104256
255,"Fish, Beaver, Fish",1102808
28,"Ant, Fish, Beaver",1099344
452,"Mosquito, Mosquito, Cricket",1095097
277,"Fish, Fish, Otter",1094742
455,"Mosquito, Mosquito, Mosquito",1090018
23,"Ant, Cricket, Mosquito",1086078
27,"Ant, Fish, Ant",1084608
111,"Beaver, Fish, Fish",1079890
412,"Mosquito, Ant, Otter",1077164
14,"Ant, Beaver, Mosquito",1074367
6,"Ant, Ant, Mouse",1062538
295,"Fish, Mosquito, Otter",1047169
257,"Fish, Beaver, Mosquito",1040672
244,"Fish, Ant, Beaver",1037498
439,"Mosquito, Fish, Otter",1036094
65,"Ant, Otter, Cricket",1034680
33,"Ant, Fish, Mouse",1033931
243,"Fish, Ant, Ant",1030917
264,"Fish, Cricket, Fish",1023355
326,"Horse, Ant, Cricket",1020241
86,"Beaver, Ant, Mosquito",1019429
46,"Ant, Mosquito, Beaver",1017475
165,"Cricket, Ant, Fish",1012109
569,"Otter, Ant, Cricket",1011054
25,"Ant, Cricket, Otter",1010223
45,"Ant, Mosquito, Ant",1005534
110,"Beaver, Fish, Cricket",999420
263,"Fish, Cricket, Cricket",999187
271,"Fish, Fish, Beaver",996857
457,"Mosquito, Mosquito, Otter",990659
167,"Cricket, Ant, Mosquito",990516
192,"Cricket, Fish, Fish",990295
66,"Ant, Otter, Fish",988545
417,"Mosquito, Beaver, Fish",981854
113,"Beaver, Fish, Mosquito",975532
266,"Fish, Cricket, Mosquito",972635
129,"Beaver, Mosquito, Fish",971129
270,"Fish, Fish, Ant",971106
254,"Fish, Beaver, Cricket",966915
68,"Ant, Otter, Mosquito",964817
16,"Ant, Beaver, Otter",962499
419,"Mosquito, Beaver, Mosquito",960406
249,"Fish, Ant, Mouse",959564
194,"Cricket, Fish, Mosquito",957592
51,"Ant, Mosquito, Mouse",956027
426,"Mosquito, Cricket, Fish",953992
425,"Mosquito, Cricket, Cricket",952196
88,"Beaver, Ant, Otter",951366
212,"Cricket, Mosquito, Mosquito",944214
406,"Mosquito, Ant, Beaver",943125
276,"Fish, Fish, Mouse",942176
210,"Cricket, Mosquito, Fish",936969
405,"Mosquito, Ant, Ant",934097
428,"Mosquito, Cricket, Mosquito",927820
651,"Pig, Ant, Fish",925603
131,"Beaver, Mosquito, Mosquito",923953
93,"Beaver, Beaver, Fish",922224
128,"Beaver, Mosquito, Cricket",921090
10,"Ant, Beaver, Beaver",920905
289,"Fish, Mosquito, Beaver",915764
433,"Mosquito, Fish, Beaver",914334
416,"Mosquito, Beaver, Cricket",898809
191,"Cricket, Fish, Cricket",897257
678,"Pig, Fish, Fish",897223
432,"Mosquito, Fish, Ant",896510
288,"Fish, Mosquito, Ant",896445
318,"Fish, Pig, Fish",895996
9,"Ant, Beaver, Ant",889455
115,"Beaver, Fish, Otter",885269
259,"Fish, Beaver, Otter",880298
209,"Cricket, Mosquito, Cricket",880028
