Team_ID,Team_Composition,Unique_Loss_Count
246,"Fish, Ant, Fish",6
3,"Ant, Ant, Fish",10
273,"Fish, Fish, Fish",22
245,"Fish, Ant, Cricket",27
271,"Fish, Fish, Beaver",28
7,"Ant, Ant, Otter",29
244,"Fish, Ant, Beaver",32
243,"Fish, Ant, Ant",36
250,"Fish, Ant, Otter",36
248,"Fish, Ant, Mosquito",38
30,"Ant, Fish, Fish",38
84,"Beaver, Ant, Fish",38
2,"Ant, Ant, Cricket",38
272,"Fish, Fish, Cricket",45
275,"Fish, Fish, Mosquito",50
408,"Mosquito, Ant, Fish",51
1,"Ant, Ant, Beaver",51
253,"Fish, Beaver, Beaver",51
165,"Cricket, Ant, Fish",52
21,"Ant, Cricket, Fish",52
0,"Ant, Ant, Ant",52
5,"Ant, Ant, Mosquito",53
270,"Fish, Fish, Ant",54
255,"Fish, Beaver, Fish",55
28,"Ant, Fish, Beaver",55
12,"Ant, Beaver, Fish",61
111,"Beaver, Fish, Fish",62
264,"Fish, Cricket, Fish",65
291,"Fish, Mosquito, Fish",70
83,"Beaver, Ant, Cricket",70
29,"Ant, Fish, Cricket",73
10,"Ant, Beaver, Beaver",74
651,"Pig, Ant, Fish",75
435,"Mosquito, Fish, Fish",76
32,"Ant, Fish, Mosquito",78
48,"Ant, Mosquito, Fish",79
192,"Cricket, Fish, Fish",80
27,"Ant, Fish, Ant",81
109,"Beaver, Fish, Beaver",81
278,"Fish, Fish, Pig",83
6,"Ant, Ant, Mouse",83
570,"Otter, Ant, Fish",84
327,"Horse, Ant, Fish",87
249,"Fish, Ant, Mouse",87
81,"Beaver, Ant, Ant",88
88,"Beaver, Ant, Otter",88
82,"Beaver, Ant, Beaver",89
407,"Mosquito, Ant, Cricket",92
66,"Ant, Otter, Fish",92
318,"Fish, Pig, Fish",93
91,"Beaver, Beaver, Beaver",94
277,"Fish, Fish, Otter",94
20,"Ant, Cricket, Cricket",94
262,"Fish, Cricket, Beaver",99
86,"Beaver, Ant, Mosquito",99
93,"Beaver, Beaver, Fish",101
289,"Fish, Mosquito, Beaver",102
678,"Pig, Fish, Fish",102
164,"Cricket, Ant, Cricket",103
410,"Mosquito, Ant, Mosquito",103
19,"Ant, Cricket, Beaver",103
34,"Ant, Fish, Otter",104
282,"Fish, Horse, Fish",106
190,"Cricket, Fish, Beaver",108
433,"Mosquito, Fish, Beaver",108
23,"Ant, Cricket, Mosquito",110
110,"Beaver, Fish, Cricket",111
437,"Mosquito, Fish, Mosquito",112
293,"Fish, Mosquito, Mosquito",114
412,"Mosquito, Ant, Otter",114
274,"Fish, Fish, Horse",116
266,"Fish, Cricket, Mosquito",117
167,"Cricket, Ant, Mosquito",117
257,"Fish, Beaver, Mosquito",118
46,"Ant, Mosquito, Beaver",118
50,"Ant, Mosquito, Mosquito",119
18,"Ant, Cricket, Ant",120
194,"Cricket, Fish, Mosquito",120
162,"Cricket, Ant, Ant",120
354,"Horse, Fish, Fish",120
263,"Fish, Cricket, Cricket",120
25,"Ant, Cricket, Otter",121
163,"Cricket, Ant, Beaver",122
113,"Beaver, Fish, Mosquito",122
169,"Cricket, Ant, Otter",122
35,"Ant, Fish, Pig",123
405,"Mosquito, Ant, Ant",123
254,"Fish, Beaver, Cricket",123
406,"Mosquito, Ant, Beaver",123
252,"Fish, Beaver, Ant",123
108,"Beaver, Fish, Ant",125
453,"Mosquito, Mosquito, Fish",127
316,"Fish, Pig, Beaver",128
650,"Pig, Ant, Cricket",128
290,"Fish, Mosquito, Cricket",129
434,"Mosquito, Fish, Cricket",129
14,"Ant, Beaver, Mosquito",134
309,"Fish, Otter, Fish",135
489,"Mouse, Ant, Fish",135
102,"Beaver, Cricket, Fish",135
11,"Ant, Beaver, Cricket",137
47,"Ant, Mosquito, Cricket",138
9,"Ant, Beaver, Ant",140
426,"Mosquito, Cricket, Fish",141
129,"Beaver, Mosquito, Fish",141
261,"Fish, Cricket, Ant",142
260,"Fish, Beaver, Pig",143
597,"Otter, Fish, Fish",144
191,"Cricket, Fish, Cricket",145
210,"Cricket, Mosquito, Fish",147
326,"Horse, Ant, Cricket",148
417,"Mosquito, Beaver, Fish",150
183,"Cricket, Cricket, Fish",151
8,"Ant, Ant, Pig",152
57,"Ant, Mouse, Fish",152
649,"Pig, Ant, Beaver",152
676,"Pig, Fish, Beaver",153
432,"Mosquito, Fish, Ant",155
22,"Ant, Cricket, Horse",156
4,"Ant, Ant, Horse",156
415,"Mosquito, Beaver, Beaver",157
31,"Ant, Fish, Horse",158
288,"Fish, Mosquito, Ant",159
569,"Otter, Ant, Cricket",160
87,"Beaver, Ant, Mouse",160
455,"Mosquito, Mosquito, Mosquito",161
189,"Cricket, Fish, Ant",162
174,"Cricket, Beaver, Fish",162
75,"Ant, Pig, Fish",162
655,"Pig, Ant, Otter",162
648,"Pig, Ant, Ant",163
251,"Fish, Ant, Pig",164
653,"Pig, Ant, Mosquito",164
172,"Cricket, Beaver, Beaver",166
280,"Fish, Horse, Beaver",167
45,"Ant, Mosquito, Ant",168
428,"Mosquito, Cricket, Mosquito",168
212,"Cricket, Mosquito, Mosquito",170
325,"Horse, Ant, Beaver",172
185,"Cricket, Cricket, Mosquito",172
116,"Beaver, Fish, Pig",172
247,"Fish, Ant, Horse",174
572,"Otter, Ant, Mosquito",174
127,"Beaver, Mosquito, Beaver",175
115,"Beaver, Fish, Otter",176
307,"Fish, Otter, Beaver",177
39,"Ant, Horse, Fish",177
